		0,0	, 30.6976 ;
 		0,1	, 50.6736 ;
 		0,2	, 52.4467 ;
 		0,3	, 52.6849 ;
 		0,4	, 52.7125 ;
 		0,5	, 52.7125 ;
 		0,6	, 52.6849 ;
 		0,7	, 52.4467 ;
 		0,8	, 50.6736 ;
 		0,9	, 30.6976 ;
 		1,0	, 50.7029 ;
 		1,1	, 88.2312 ;
 		1,2	, 92.6533 ;
 		1,3	, 93.2143 ;
 		1,4	, 93.2859 ;
 		1,5	, 93.2859 ;
 		1,6	, 93.2143 ;
 		1,7	, 92.6533 ;
 		1,8	, 88.2312 ;
 		1,9	, 50.7029 ;
 		2,0	, 52.4756 ;
 		2,1	, 92.6528 ;
 		2,2	, 98.1462 ;
 		2,3	, 98.9003 ;
 		2,4	, 98.9996 ;
 		2,5	, 98.9996 ;
 		2,6	, 98.9003 ;
 		2,7	, 98.1462 ;
 		2,8	, 92.6528 ;
 		2,9	, 52.4756 ;
 		3,0	, 52.7141 ;
 		3,1	, 93.2141 ;
 		3,2	, 98.9005 ;
 		3,3	, 99.7238 ;
 		3,4	, 99.8366 ;
 		3,5	, 99.8366 ;
 		3,6	, 99.7238 ;
 		3,7	, 98.9005 ;
 		3,8	, 93.2141 ;
 		3,9	, 52.7141 ;
 		4,0	, 52.7416 ;
 		4,1	, 93.2857 ;
 		4,2	, 98.9998 ;
 		4,3	, 99.8366 ;
 		4,4	, 99.9537 ;
 		4,5	, 99.9537 ;
 		4,6	, 99.8366 ;
 		4,7	, 98.9998 ;
 		4,8	, 93.2857 ;
 		4,9	, 52.7416 ;
 		5,0	, 52.7416 ;
 		5,1	, 93.2857 ;
 		5,2	, 98.9998 ;
 		5,3	, 99.8366 ;
 		5,4	, 99.9537 ;
 		5,5	, 99.9537 ;
 		5,6	, 99.8366 ;
 		5,7	, 98.9998 ;
 		5,8	, 93.2857 ;
 		5,9	, 52.7416 ;
 		6,0	, 52.7141 ;
 		6,1	, 93.2141 ;
 		6,2	, 98.9005 ;
 		6,3	, 99.7238 ;
 		6,4	, 99.8366 ;
 		6,5	, 99.8366 ;
 		6,6	, 99.7238 ;
 		6,7	, 98.9005 ;
 		6,8	, 93.2141 ;
 		6,9	, 52.7141 ;
 		7,0	, 52.4756 ;
 		7,1	, 92.6528 ;
 		7,2	, 98.1462 ;
 		7,3	, 98.9003 ;
 		7,4	, 98.9996 ;
 		7,5	, 98.9996 ;
 		7,6	, 98.9003 ;
 		7,7	, 98.1462 ;
 		7,8	, 92.6528 ;
 		7,9	, 52.4756 ;
 		8,0	, 50.7029 ;
 		8,1	, 88.2312 ;
 		8,2	, 92.6533 ;
 		8,3	, 93.2143 ;
 		8,4	, 93.2859 ;
 		8,5	, 93.2859 ;
 		8,6	, 93.2143 ;
 		8,7	, 92.6533 ;
 		8,8	, 88.2312 ;
 		8,9	, 50.7029 ;
 		9,0	, 30.6976 ;
 		9,1	, 50.6736 ;
 		9,2	, 52.4467 ;
 		9,3	, 52.6849 ;
 		9,4	, 52.7125 ;
 		9,5	, 52.7125 ;
 		9,6	, 52.6849 ;
 		9,7	, 52.4467 ;
 		9,8	, 50.6736 ;
 		9,9	, 30.6976 ;
 
